cohort	run	ground_truth_label	expected_target	reported_targets	decisions	label_check
gse147507_rsv	SRR11517750	mock	none	M74568.1	BELOW_THRESHOLD	MOCK_CLEAR
gse147507_rsv	SRR11517751	mock	none	M74568.1	BELOW_THRESHOLD	MOCK_CLEAR
gse147507_rsv	SRR11517752	mock	none	M74568.1	BELOW_THRESHOLD	MOCK_CLEAR
gse147507_rsv	SRR11517753	RSV_A2	M74568.1	M74568.1	PASS	EXPECTED_TARGET_REPORTED
gse147507_rsv	SRR11517754	RSV_A2	M74568.1	M74568.1	PASS	EXPECTED_TARGET_REPORTED
gse147507_rsv	SRR11517755	RSV_A2	M74568.1	M74568.1	PASS	EXPECTED_TARGET_REPORTED
gse147507_sars	SRR11517680	mock	none			MOCK_CLEAR
gse147507_sars	SRR11517681	mock	none	MN985325.1	BELOW_THRESHOLD	MOCK_CLEAR
gse147507_sars	SRR11517682	mock	none			MOCK_CLEAR
gse147507_sars	SRR11517741	SARS-CoV-2_USA-WA1/2020	MN985325.1	MN985325.1	PASS	EXPECTED_TARGET_REPORTED
gse147507_sars	SRR11517742	SARS-CoV-2_USA-WA1/2020	MN985325.1	MN985325.1	PASS	EXPECTED_TARGET_REPORTED
gse147507_sars	SRR11517743	SARS-CoV-2_USA-WA1/2020	MN985325.1	MN985325.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090597	HPV16_1	K02718.1	K02718.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090598	HPV16_1	K02718.1	K02718.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090599	HPV16_2	K02718.1	K02718.1	BELOW_THRESHOLD	EXPECTED_TARGET_BELOW_THRESHOLD
gse91065_hpv	SRR5090600	HPV16_2	K02718.1	K02718.1	BELOW_THRESHOLD	EXPECTED_TARGET_BELOW_THRESHOLD
gse91065_hpv	SRR5090601	HPV16_3	K02718.1	K02718.1	BELOW_THRESHOLD	EXPECTED_TARGET_BELOW_THRESHOLD
gse91065_hpv	SRR5090602	HPV16_3	K02718.1	K02718.1	BELOW_THRESHOLD	EXPECTED_TARGET_BELOW_THRESHOLD
gse91065_hpv	SRR5090603	HPV16_4	K02718.1	K02718.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090604	HPV16_4	K02718.1	K02718.1	BELOW_THRESHOLD	EXPECTED_TARGET_BELOW_THRESHOLD
gse91065_hpv	SRR5090605	HPV16_5	K02718.1	K02718.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090606	HPV16_5	K02718.1	K02718.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090607	HPV16_6	K02718.1	K02718.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090608	HPV16_6	K02718.1	K02718.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090609	HPV16_7	K02718.1	K02718.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090610	HPV16_7	K02718.1	K02718.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090611	HPV16_8	K02718.1			EXPECTED_TARGET_NOT_REPORTED
gse91065_hpv	SRR5090612	HPV16_8	K02718.1			EXPECTED_TARGET_NOT_REPORTED
gse91065_hpv	SRR5090613	HPV16_9	K02718.1	K02718.1	BELOW_THRESHOLD	EXPECTED_TARGET_BELOW_THRESHOLD
gse91065_hpv	SRR5090614	HPV16_9	K02718.1	K02718.1	BELOW_THRESHOLD	EXPECTED_TARGET_BELOW_THRESHOLD
gse91065_hpv	SRR5090615	HPV16_10	K02718.1	K02718.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090616	HPV16_10	K02718.1	K02718.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090617	HPV16_11	K02718.1			EXPECTED_TARGET_NOT_REPORTED
gse91065_hpv	SRR5090618	HPV16_11	K02718.1			EXPECTED_TARGET_NOT_REPORTED
gse91065_hpv	SRR5090619	HPV16_12	K02718.1	K02718.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090620	HPV16_12	K02718.1	K02718.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090621	HPV16_13	K02718.1	K02718.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090622	HPV16_14	K02718.1	K02718.1	BELOW_THRESHOLD	EXPECTED_TARGET_BELOW_THRESHOLD
gse91065_hpv	SRR5090623	HPV18_1	AY262282.1	AY262282.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090624	HPV18_1	AY262282.1	AY262282.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090625	HPV18_2	AY262282.1	AY262282.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090626	HPV18_2	AY262282.1	AY262282.1	BELOW_THRESHOLD	EXPECTED_TARGET_BELOW_THRESHOLD
gse91065_hpv	SRR5090627	HPV18_3	AY262282.1	AY262282.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090628	HPV18_3	AY262282.1	AY262282.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090629	HPV18_4	AY262282.1	AY262282.1	BELOW_THRESHOLD	EXPECTED_TARGET_BELOW_THRESHOLD
gse91065_hpv	SRR5090630	HPV18_4	AY262282.1	AY262282.1	BELOW_THRESHOLD	EXPECTED_TARGET_BELOW_THRESHOLD
gse91065_hpv	SRR5090631	HPV18_5	AY262282.1	AY262282.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090632	HPV18_5	AY262282.1	AY262282.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090633	HPV18_6	AY262282.1	AY262282.1	BELOW_THRESHOLD	EXPECTED_TARGET_BELOW_THRESHOLD
gse91065_hpv	SRR5090634	HPV18_6	AY262282.1	AY262282.1	BELOW_THRESHOLD	EXPECTED_TARGET_BELOW_THRESHOLD
gse91065_hpv	SRR5090635	HPV18_7	AY262282.1	AY262282.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090636	HPV18_7	AY262282.1	AY262282.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090637	HPV18_8	AY262282.1	AY262282.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090638	HPV18_8	AY262282.1	AY262282.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090639	HPV18_9	AY262282.1	AY262282.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090640	HPV18_9	AY262282.1	AY262282.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090641	HPV18_10	AY262282.1	AY262282.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090642	HPV18_10	AY262282.1	AY262282.1	PASS	EXPECTED_TARGET_REPORTED
gse91065_hpv	SRR5090643	CaSki	K02718.1	K02718.1	PASS	EXPECTED_TARGET_REPORTED
