dataset_id	cohort	source_label	expectation_kind	expected_group_key	known_ambiguity
internal-68	internal_dna_virus_68	null	MOCK	-	-
internal-68	internal_dna_virus_68	ebv_wt	EXPECTED_GROUP	EBV	-
internal-68	internal_dna_virus_68	hbv_b	EXPECTED_GROUP	HBV	-
internal-68	internal_dna_virus_68	hbv_c	EXPECTED_GROUP	HBV	-
internal-68	internal_dna_virus_68	hpv_16	EXPECTED_GROUP	HPV16	-
internal-68	internal_dna_virus_68	hpv_18	EXPECTED_GROUP	HPV18	Historical baseline reports EBV rather than the source label; retain the source label for adjudication.
external-59	gse147507_sars	mock	MOCK	-	-
external-59	gse147507_sars	SARS-CoV-2_USA-WA1/2020	EXPECTED_GROUP	MN985325.1	-
external-59	gse147507_rsv	mock	MOCK	-	-
external-59	gse147507_rsv	RSV_A2	EXPECTED_GROUP	M74568.1	-
external-59	gse91065_hpv	HPV16_1	EXPECTED_GROUP	K02718.1	-
external-59	gse91065_hpv	HPV16_2	EXPECTED_GROUP	K02718.1	-
external-59	gse91065_hpv	HPV16_3	EXPECTED_GROUP	K02718.1	-
external-59	gse91065_hpv	HPV16_4	EXPECTED_GROUP	K02718.1	-
external-59	gse91065_hpv	HPV16_5	EXPECTED_GROUP	K02718.1	-
external-59	gse91065_hpv	HPV16_6	EXPECTED_GROUP	K02718.1	-
external-59	gse91065_hpv	HPV16_7	EXPECTED_GROUP	K02718.1	-
external-59	gse91065_hpv	HPV16_8	EXPECTED_GROUP	K02718.1	Historical baseline does not report the expected label; retain the source label for adjudication.
external-59	gse91065_hpv	HPV16_9	EXPECTED_GROUP	K02718.1	-
external-59	gse91065_hpv	HPV16_10	EXPECTED_GROUP	K02718.1	-
external-59	gse91065_hpv	HPV16_11	EXPECTED_GROUP	K02718.1	Historical baseline does not report the expected label; retain the source label for adjudication.
external-59	gse91065_hpv	HPV16_12	EXPECTED_GROUP	K02718.1	-
external-59	gse91065_hpv	HPV16_13	EXPECTED_GROUP	K02718.1	-
external-59	gse91065_hpv	HPV16_14	EXPECTED_GROUP	K02718.1	-
external-59	gse91065_hpv	HPV18_1	EXPECTED_GROUP	AY262282.1	-
external-59	gse91065_hpv	HPV18_2	EXPECTED_GROUP	AY262282.1	-
external-59	gse91065_hpv	HPV18_3	EXPECTED_GROUP	AY262282.1	-
external-59	gse91065_hpv	HPV18_4	EXPECTED_GROUP	AY262282.1	-
external-59	gse91065_hpv	HPV18_5	EXPECTED_GROUP	AY262282.1	-
external-59	gse91065_hpv	HPV18_6	EXPECTED_GROUP	AY262282.1	-
external-59	gse91065_hpv	HPV18_7	EXPECTED_GROUP	AY262282.1	-
external-59	gse91065_hpv	HPV18_8	EXPECTED_GROUP	AY262282.1	-
external-59	gse91065_hpv	HPV18_9	EXPECTED_GROUP	AY262282.1	-
external-59	gse91065_hpv	HPV18_10	EXPECTED_GROUP	AY262282.1	-
external-59	gse91065_hpv	CaSki	EXPECTED_GROUP	K02718.1	-
