group_ordinal	target_group_id	representative_id	member_ordinal	member_id	representative_length	target_fasta_sha256	profile_digest
0	sha256:0000f5c6a37c4db853d43f4859f0049d4b67a358a1805b227884540ba2a3ed9b	MZ286274.1	0	MZ286274.1	2840	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
1	sha256:000981990d4d983d9fcffc6ae60df953792853dce9cc407ff094e86edd5ef3cf	LC150335.1	0	LC150335.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
2	sha256:000b65f82ed312e64be1476dd530576abfaea83a5a33bb1937e77152d4dd15dd	MN901806.1	0	MN901806.1	33776	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
3	sha256:000c97416bf7858dba1452a149d8a336ff58665d51b330036ff99048270d283c	EU916207.1	0	EU916207.1	3191	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
4	sha256:00104ae7b930d6268becfdd34717930d30d23fbf964a3f44dd3a03ae1e7ad11d	MN829878.1	0	MN829878.1	7879	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
5	sha256:0014e7edf5c6680025f6f18caa335eb013615bfc089c757d762c9c799ac534b5	HQ910407.1	0	HQ910407.1	35139	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
6	sha256:00162357b04fcaec4eb13f30ad064310f0944dfafd038bd53397578150668024	GU332697.1	0	GU332697.1	3185	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
7	sha256:00170123f3db0871671bd632b48668ef732050a398f6c82791562ff653dc729b	MF588699.1	0	MF588699.1	7327	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
8	sha256:002509df3287b812fbc69a4f5f1c3f3da9e8534ffaa3e3613be7eaa32d8966cb	MN769783.1	0	MN769783.1	2750	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
9	sha256:002bbf286945d111151120cb0c38efe6ae6d19e25071d8fe46329064ed2b9137	GQ404854.1	0	GQ404854.1	1794	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
9	sha256:002bbf286945d111151120cb0c38efe6ae6d19e25071d8fe46329064ed2b9137	GQ404854.1	1	NC_038416.1	1794	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
10	sha256:002d0cccfe3eae69f283a147133e79ad363d4f7ab1293c2331823c4ec98981a6	LT992439.1	0	LT992439.1	3182	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
11	sha256:0030dfe926d0e6b514ac5729bb20e6d3006274927b74194948e5cf5376e9c3fa	KX765837.1	0	KX765837.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
12	sha256:00354544bc414da0538c79258f07e36f0fac240dd67839ebaa9a62722bfaec46	KY476324.1	0	KY476324.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
13	sha256:00358aba34e5a534c19d710501d9b903754ca60133c778a0f6b0c398839df04f	MK534588.1	0	MK534588.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
14	sha256:0039065af76fa3110cfdde97a01483b8edc9c1f260290e480e49366205d747f7	OP073162.1	0	OP073162.1	34765	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
15	sha256:003e727dd21ab81335d820b56cc06d4954f802199d5d905c5e5e5d473e6d5c1d	KP745660.1	0	KP745660.1	235101	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
16	sha256:00418b69e055a423fd19169681981a0ec3aded4b47895bab0328e0b8ead52a7c	FJ386622.1	0	FJ386622.1	3181	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
17	sha256:00467e9ab6db74d64712731f5ceb5c716766a50abb356f0a9068f01b6e1aafe2	MH777273.2	0	MH777273.2	7389	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
18	sha256:0048176e8b7a4634cbbf7daf16482fae446132675e50cdc696022b422b3b5b5a	OK574345.1	0	OK574345.1	3205	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
19	sha256:005124f0e362b5ab8fd2c979af2da4d526433fc18199b6af24f9d8d83105ca9a	MN769199.1	0	MN769199.1	2867	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
20	sha256:0053a6840f3f560373a244a58b8474c6e88d871461451e0c525e727ba89bc8fa	OQ557956.1	0	OQ557956.1	197166	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
21	sha256:00562ef48bba296897901b758db39573b274c385abe1ff7161c1fb91316ece99	GU815633.1	0	GU815633.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
22	sha256:0059dae7263519731ac2ddd20023287013df98ab1b5e832d44420396cda691e8	FJ709464.2	0	FJ709464.2	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
